station_name|primary_station_id|report_id|observation_id|longitude|latitude|height_of_station_above_sea_level|report_timestamp|report_meaning_of_time_stamp|report_duration|observed_variable|units|observation_value|quality_flag|source_id|data_policy_licence|platform_type|report_type|value_significance
null|UBUO6|ICOADS-302-RJEUIW|ICOADS-302-RJEUIW-SST|142.4|46.3|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|287.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUJI|ICOADS-302-RJEUJI-SST|-83.9|46.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|280.05|1|2|0|2|0|2
HON. JAMES L. OBERSTAR (AWS)|WL3108|ICOADS-302-RJEUJJ|ICOADS-302-RJEUJJ-SST|-83.9|46.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|280.05|1|2|0|2|0|2
ONE HARBOUR|3EIQ5|ICOADS-302-RJEUJR|ICOADS-302-RJEUJR-SST|-144.3|45.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|288.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUJS|ICOADS-302-RJEUJS-SST|-144.3|45.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|288.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUKE|ICOADS-302-RJEUKE-SST|151.3|45.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|281.05|0|2|0|2|0|2
OOCL TOKYO|VRCI9|ICOADS-302-RJEUKF|ICOADS-302-RJEUKF-SST|151.3|45.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|281.05|0|2|0|2|0|2
METEOR|DBBH|ICOADS-302-RJEUKS|ICOADS-302-RJEUKS-SST|-8.5|44.9|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|289.55|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUKT|ICOADS-302-RJEUKT-SST|-8.5|44.9|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|289.55|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEULI|ICOADS-302-RJEULI-SST|35.0|44.2|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|292.15|0|2|0|2|0|2
MAERSK KIEL|VRGJ6|ICOADS-302-RJEULJ|ICOADS-302-RJEULJ-SST|35.0|44.2|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|292.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEULK|ICOADS-302-RJEULK-SST|-147.2|44.2|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|290.15|0|2|0|2|0|2
MAERSK EDMONTON|OYHV2|ICOADS-302-RJEULL|ICOADS-302-RJEULL-SST|-147.2|44.2|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|290.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEULO|ICOADS-302-RJEULO-SST|-82.8|44.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|315.75|1|2|0|2|0|2
PAUL R. TREGURTHA (AWS)|WYR4481|ICOADS-302-RJEULP|ICOADS-302-RJEULP-SST|-82.8|44.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|315.75|1|2|0|2|0|2
